Empleado1,Empleado2,similarity
Empleado4635,Empleado4148,0.9900990099009901
Empleado4741,Empleado5751,0.9900990099009901
Empleado4786,Empleado9500,0.9900990099009901
Empleado4796,Empleado9697,0.9900990099009901
Empleado4883,Empleado2951,0.9900990099009901
Empleado4944,Empleado13891,0.9900990099009901
Empleado4976,Empleado6421,0.9900990099009901
Empleado5036,Empleado9050,0.9900990099009901
Empleado5114,Empleado7871,0.9900990099009901
Empleado5230,Empleado5269,0.9900990099009901
Empleado5272,Empleado1300,0.9900990099009901
Empleado5413,Empleado13165,0.9900990099009901
Empleado5444,Empleado6191,0.9900990099009901
Empleado5563,Empleado13337,0.9900990099009901
Empleado558,Empleado14608,0.9900990099009901
Empleado5581,Empleado8057,0.9900990099009901
Empleado5602,Empleado9923,0.9900990099009901
Empleado5833,Empleado283,0.9900990099009901
Empleado5842,Empleado4254,0.9900990099009901
Empleado5900,Empleado3248,0.9900990099009901
Empleado6008,Empleado7871,0.9900990099009901
Empleado6057,Empleado11688,0.9900990099009901
Empleado6113,Empleado6461,0.9900990099009901
Empleado6202,Empleado6684,0.9900990099009901
Empleado6351,Empleado5864,0.9900990099009901
Empleado6434,Empleado3107,0.9900990099009901
Empleado6445,Empleado7793,0.9900990099009901
Empleado6550,Empleado10052,0.9900990099009901
Empleado6606,Empleado5758,0.9900990099009901
Empleado6654,Empleado7839,0.9900990099009901
Empleado6658,Empleado5651,0.9900990099009901
Empleado6770,Empleado11020,0.9900990099009901
Empleado6781,Empleado9193,0.9900990099009901
Empleado6867,Empleado9684,0.9900990099009901
Empleado6914,Empleado6247,0.9900990099009901
Empleado7121,Empleado12269,0.9900990099009901
Empleado7134,Empleado12386,0.9900990099009901
Empleado7137,Empleado7686,0.9900990099009901
Empleado7149,Empleado1001,0.9900990099009901
Empleado723,Empleado5358,0.9900990099009901
Empleado7246,Empleado11597,0.9900990099009901
Empleado7330,Empleado1688,0.9900990099009901
Empleado7349,Empleado10177,0.9900990099009901
Empleado7375,Empleado12980,0.9900990099009901
Empleado7394,Empleado10323,0.9900990099009901
Empleado7460,Empleado2684,0.9900990099009901
Empleado7543,Empleado2864,0.9900990099009901
Empleado7753,Empleado9205,0.9900990099009901
Empleado7816,Empleado6035,0.9900990099009901
Empleado7822,Empleado1738,0.9900990099009901
Empleado7837,Empleado2696,0.9900990099009901
Empleado7870,Empleado5065,0.9900990099009901
Empleado7874,Empleado10863,0.9900990099009901
Empleado7934,Empleado10579,0.9900990099009901
Empleado8121,Empleado3643,0.9900990099009901
Empleado8233,Empleado3643,0.9900990099009901
Empleado8276,Empleado8305,0.9900990099009901
Empleado8285,Empleado8891,0.9900990099009901
Empleado8317,Empleado12487,0.9900990099009901
Empleado8493,Empleado4850,0.9900990099009901
Empleado8592,Empleado9050,0.9900990099009901
