Empleado1,Empleado2,similarity
Empleado3517,Empleado9171,0.9900990099009901
Empleado3520,Empleado1483,0.9900990099009901
Empleado3538,Empleado10341,0.9900990099009901
Empleado3608,Trabajador730,0.9900990099009901
Empleado3678,Empleado8470,0.9900990099009901
Empleado3836,Trabajador3566,0.9900990099009901
Empleado3855,Empleado1784,0.9900990099009901
Empleado3915,Trabajador2644,0.9900990099009901
Empleado3923,Empleado9507,0.9900990099009901
Empleado4004,Empleado6927,0.9900990099009901
Empleado4025,Trabajador312,0.9900990099009901
Empleado4096,Empleado6821,0.9900990099009901
Empleado4104,Trabajador1474,0.9900990099009901
Empleado4154,Trabajador977,0.9900990099009901
Empleado4265,Empleado1667,0.9900990099009901
Empleado4331,Empleado1171,0.9900990099009901
Empleado4651,Empleado5870,0.9900990099009901
Empleado4685,Empleado1042,0.9900990099009901
Empleado4737,Empleado9880,0.9900990099009901
Empleado5007,Trabajador3813,0.9900990099009901
Empleado5061,Empleado5546,0.9900990099009901
Empleado5114,Empleado4116,0.9900990099009901
Empleado519,Trabajador4237,0.9900990099009901
Empleado5269,Empleado6821,0.9900990099009901
Empleado5275,Trabajador572,0.9900990099009901
Empleado5307,Trabajador3996,0.9900990099009901
Empleado5634,Trabajador1151,0.9900990099009901
Empleado5688,Empleado5762,0.9900990099009901
Empleado571,Empleado9401,0.9900990099009901
Empleado5753,Trabajador1190,0.9900990099009901
Empleado5868,Empleado356,0.9900990099009901
Empleado5911,Trabajador1182,0.9900990099009901
Empleado5928,Empleado8491,0.9900990099009901
Empleado5943,Empleado9330,0.9900990099009901
Empleado5969,Empleado10210,0.9900990099009901
Empleado6030,Empleado1688,0.9900990099009901
Empleado6083,Empleado2406,0.9900990099009901
Empleado6122,Trabajador2857,0.9900990099009901
Empleado6128,Empleado7987,0.9900990099009901
Empleado6167,Empleado9253,0.9900990099009901
Empleado6292,Empleado8384,0.9900990099009901
Empleado6434,Empleado5196,0.9900990099009901
Empleado6441,Trabajador3702,0.9900990099009901
Empleado6590,Empleado6605,0.9900990099009901
Empleado6737,Empleado7050,0.9900990099009901
Empleado6743,Empleado9684,0.9900990099009901
Empleado6785,Empleado9080,0.9900990099009901
Empleado6805,Empleado1360,0.9900990099009901
Empleado6813,Empleado7870,0.9900990099009901
Empleado6830,Trabajador3592,0.9900990099009901
Empleado6871,Empleado3472,0.9900990099009901
Empleado6911,Trabajador2080,0.9900990099009901
Empleado6927,Empleado4004,0.9900990099009901
Empleado6997,Trabajador137,0.9900990099009901
Empleado7059,Empleado3238,0.9900990099009901
Empleado7150,Empleado9283,0.9900990099009901
Empleado7162,Empleado808,0.9900990099009901
Empleado7318,Empleado9061,0.9900990099009901
Empleado7341,Empleado6260,0.9900990099009901
