Empleado1,Empleado2,similarity
Empleado10214,Empleado14177,1.0
Empleado10215,Empleado5859,1.0
Empleado10216,Empleado3619,1.0
Empleado10217,Empleado5356,1.0
Empleado10218,Empleado10016,1.0
Empleado10219,Empleado7789,1.0
Empleado1022,Empleado4691,1.0
Empleado10220,Empleado2605,1.0
Empleado10221,Empleado9639,1.0
Empleado10222,Empleado4384,1.0
Empleado10223,Empleado6827,1.0
Empleado10224,Empleado4977,1.0
Empleado10225,Empleado6817,1.0
Empleado10227,Empleado6342,1.0
Empleado10228,Empleado4643,1.0
Empleado10229,Empleado11491,1.0
Empleado1023,Empleado6855,1.0
Empleado10230,Empleado4860,1.0
Empleado10231,Empleado8434,1.0
Empleado10232,Empleado11414,1.0
Empleado10233,Empleado7278,1.0
Empleado10234,Empleado10990,1.0
Empleado10235,Empleado3171,1.0
Empleado10236,Empleado12806,1.0
Empleado10237,Empleado12787,1.0
Empleado10238,Empleado6091,1.0
Empleado10239,Empleado13349,1.0
Empleado1024,Empleado904,1.0
Empleado10240,Empleado13428,1.0
Empleado10241,Empleado11034,1.0
Empleado10242,Empleado8130,1.0
Empleado10243,Empleado4323,1.0
Empleado10244,Empleado2948,1.0
Empleado10245,Empleado13119,1.0
Empleado10246,Empleado8598,1.0
Empleado10247,Empleado14295,1.0
Empleado10248,Empleado4115,1.0
Empleado10249,Empleado5401,1.0
Empleado1025,Empleado14951,1.0
Empleado10250,Empleado7527,1.0
Empleado10251,Empleado7918,1.0
Empleado10252,Empleado6760,1.0
Empleado10253,Empleado11608,1.0
Empleado10254,Empleado13231,1.0
Empleado10255,Empleado4379,1.0
Empleado10256,Empleado9559,1.0
Empleado10257,Empleado3956,1.0
Empleado10258,Empleado13224,1.0
Empleado10259,Empleado4966,1.0
Empleado1026,Empleado11830,1.0
Empleado10260,Empleado6861,1.0
Empleado10261,Empleado3474,1.0
Empleado10262,Empleado8943,1.0
Empleado10263,Empleado11768,1.0
Empleado10264,Empleado14592,1.0
Empleado10265,Empleado11678,1.0
Empleado10266,Empleado4091,1.0
Empleado10267,Empleado1669,1.0
Empleado10268,Empleado12828,1.0
Empleado10269,Empleado5204,1.0
Empleado1027,Empleado12123,1.0
Empleado10270,Empleado5464,1.0
Empleado10271,Empleado4020,1.0
Empleado10272,Empleado6061,1.0
Empleado10273,Empleado10496,1.0
Empleado10274,Empleado11305,1.0
Empleado10275,Empleado10798,1.0
Empleado10276,Empleado8423,1.0
Empleado10277,Empleado3990,1.0
Empleado10278,Empleado11928,1.0
Empleado10279,Empleado5236,1.0
Empleado1028,Empleado95,1.0
Empleado10280,Empleado3042,1.0
Empleado10281,Empleado13151,1.0
Empleado10282,Empleado1646,1.0
Empleado10283,Empleado1364,1.0
Empleado10284,Empleado4866,1.0
Empleado10285,Empleado6674,1.0
Empleado10286,Empleado2549,1.0
